startup_id,month,revenue_inr_lakhs,burn_inr_lakhs,cash_balance_inr_lakhs,runway_months,active_users,monthly_churn_rate,mom_growth_rate
S001,2024-07,6.81,18.73,89.74,7.5,259,0.0629,0.0373
S001,2024-08,7.78,19.2,78.32,6.9,288,0.0716,0.1428
S001,2024-09,7.17,19.04,66.45,5.6,229,0.1083,
S001,2024-10,5.74,19.49,52.69,3.8,167,0.0809,-0.2002
S001,2024-11,5.3,19.5,38.49,2.7,141,0.0712,-0.0761
S001,2024-12,4.89,19.44,23.94,1.6,120,0.0638,-0.0777
S001,2025-01,3.68,19.8,7.82,0.5,80,,-0.2474
S001,2025-02,3.57,20.01,0.0,0.0,72,0.0659,-0.0282
S001,2025-03,3.56,20.19,0.0,0.0,65,0.1212,-0.0049
S001,2025-04,3.66,19.98,0.0,0.0,61,0.0691,
S001,2025-05,3.56,18.99,0.0,0.0,55,0.0712,-0.0248
S001,2025-06,2.96,19.38,0.0,0.0,43,0.0576,-0.1691
S001,2025-07,3.48,18.86,0.0,0.0,47,0.0774,
S001,2025-08,3.15,19.24,0.0,0.0,38,0.1025,-0.0953
S001,2025-09,2.82,20.27,0.0,0.0,31,0.045,-0.105
S001,2025-10,2.72,20.41,0.0,0.0,28,0.0901,-0.0336
S001,2025-11,2.57,20.56,0.0,0.0,25,0.0685,-0.0567
S001,2025-12,2.38,20.53,0.0,0.0,21,0.0912,-0.0726
S001,2026-01,1.85,20.78,0.0,0.0,15,0.075,-0.2238
S001,2026-02,1.73,21.42,0.0,0.0,12,0.0668,-0.0672
S001,2026-03,1.79,21.17,0.0,0.0,11,0.0488,0.037
S001,2026-04,1.67,21.62,0.0,0.0,10,0.0982,-0.0663
S001,2026-05,1.47,21.86,0.0,0.0,10,0.0837,
S001,2026-06,1.3,21.79,0.0,0.0,10,0.0906,-0.1171
S002,2024-07,9.44,14.72,36.61,6.9,703,,0.1446
S002,2024-08,10.64,14.66,32.59,8.1,725,0.0939,0.1268
S002,2024-09,11.71,15.02,29.29,8.9,725,0.1302,0.1009
S002,2024-10,10.46,15.18,24.57,5.2,588,0.0813,-0.1068
S002,2024-11,10.85,15.51,19.92,4.3,538,0.0846,0.0375
S002,2024-12,11.27,16.4,14.78,2.9,511,0.0984,0.0382
S002,2025-01,13.14,16.68,11.24,3.2,551,0.1068,0.1664
S002,2025-02,13.72,16.38,8.58,3.2,559,0.0756,0.0438
S002,2025-03,14.25,16.5,6.33,2.8,538,,
S002,2025-04,17.48,16.75,6.33,99.0,615,0.0907,0.2269
S002,2025-05,19.39,16.64,6.33,99.0,586,0.1195,0.1095
S002,2025-06,19.5,16.93,6.33,99.0,510,0.1279,0.0054
S002,2025-07,17.62,16.93,6.33,99.0,423,0.08,-0.0964
S002,2025-08,18.03,16.57,6.33,99.0,385,,0.0233
S002,2025-09,20.02,16.04,6.33,99.0,403,0.0821,0.1102
S002,2025-10,19.21,16.07,6.33,99.0,350,0.1025,-0.0401
S002,2025-11,18.63,16.2,6.33,99.0,317,0.0868,-0.0304
S002,2025-12,18.9,16.33,6.33,99.0,269,0.1539,0.0146
S002,2026-01,21.45,15.54,6.33,99.0,284,0.0609,0.1349
S002,2026-02,19.94,15.68,6.33,99.0,234,0.1083,-0.0704
S002,2026-03,20.18,15.93,6.33,99.0,205,0.1191,0.0118
S002,2026-04,20.07,15.98,6.33,99.0,179,0.1122,-0.0051
S002,2026-05,20.41,16.07,6.33,99.0,165,0.0884,0.0167
S002,2026-06,21.06,16.11,6.33,99.0,149,0.1125,0.0317
S003,2024-07,26.78,62.54,7.21,0.2,144,0.03,0.1465
S003,2024-08,25.38,64.55,0.0,0.0,132,0.0183,-0.0525
S003,2024-09,28.59,62.1,0.0,0.0,138,0.0583,0.1267
S003,2024-10,32.1,59.22,0.0,0.0,153,0.0081,0.1225
S003,2024-11,35.5,59.0,0.0,0.0,169,0.0364,0.106
S003,2024-12,41.79,59.62,0.0,0.0,194,0.0307,0.177
S003,2025-01,40.55,59.56,0.0,0.0,190,0.0105,-0.0296
S003,2025-02,47.36,60.24,0.0,0.0,219,0.0337,0.1681
S003,2025-03,54.23,61.95,0.0,0.0,250,0.023,0.145
S003,2025-04,56.3,62.76,0.0,0.0,237,0.0508,0.0382
S003,2025-05,57.82,62.82,0.0,0.0,245,0.0144,0.0268
S003,2025-06,55.29,61.63,0.0,0.0,215,0.0699,-0.0437
S003,2025-07,59.83,59.28,0.0,99.0,215,0.0847,0.0822
S003,2025-08,63.03,59.32,0.0,99.0,210,0.0553,0.0534
S003,2025-09,66.02,58.36,0.0,99.0,224,0.0093,0.0474
S003,2025-10,67.77,58.47,0.0,99.0,220,0.0467,0.0266
S003,2025-11,79.04,58.24,0.0,99.0,254,0.012,0.1662
S003,2025-12,85.18,58.68,0.0,99.0,275,0.0214,0.0777
S003,2026-01,80.24,59.85,0.0,99.0,255,0.0167,-0.058
S003,2026-02,89.19,59.81,0.0,99.0,274,0.0595,0.1116
S003,2026-03,100.33,60.9,0.0,99.0,305,0.034,0.1249
S003,2026-04,106.0,60.65,0.0,99.0,277,0.0595,-0.0439
S003,2026-05,103.08,60.21,0.0,99.0,281,0.0657,0.0745
S003,2026-06,105.12,61.1,0.0,99.0,287,0.015,0.0198
S004,2024-07,9.27,17.87,67.15,7.8,392,0.1257,-0.062
S004,2024-08,8.24,18.12,57.27,5.8,304,0.1226,-0.1109
S004,2024-09,8.81,17.91,48.18,5.3,283,0.0981,0.0691
S004,2024-10,9.24,18.06,39.36,4.5,268,0.0747,0.0479
S004,2024-11,8.52,18.38,29.5,3.0,218,0.1023,-0.0776
S004,2024-12,7.78,18.03,19.25,1.9,180,0.0697,-0.0869
S004,2025-01,7.07,18.31,8.01,0.7,143,0.105,-0.0914
S004,2025-02,8.09,18.11,0.0,0.0,150,0.1317,0.1452
S004,2025-03,7.07,18.17,0.0,0.0,116,0.098,-0.1264
S004,2025-04,7.0,17.98,0.0,0.0,107,0.0984,0.0224
S004,2025-05,6.92,17.59,0.0,0.0,92,0.1243,-0.0426
S004,2025-06,6.97,17.49,0.0,0.0,83,0.0942,0.0076
S004,2025-07,8.01,17.86,0.0,0.0,88,0.0915,0.1485
S004,2025-08,7.67,18.1,0.0,0.0,76,0.1192,-0.0419
S004,2025-09,7.09,18.18,0.0,0.0,63,0.0734,-0.076
S004,2025-10,7.41,17.87,0.0,0.0,60,0.0915,0.0454
S004,2025-11,7.65,17.52,0.0,0.0,59,0.0387,0.0321
S004,2025-12,8.17,17.68,0.0,0.0,54,0.1348,0.0679
S004,2026-01,7.1,17.88,0.0,0.0,41,,-0.1312
S004,2026-02,7.45,18.06,0.0,0.0,39,0.1165,0.0488
S004,2026-03,7.58,18.41,0.0,0.0,36,0.1285,0.0187
S004,2026-04,7.11,18.62,0.0,0.0,29,0.1009,-0.0619
S004,2026-05,6.65,18.85,0.0,0.0,24,0.1167,-0.0648
S004,2026-06,6.44,18.88,0.0,0.0,19,0.1247,-0.0323
S005,2024-07,22.53,48.19,162.57,6.3,71,,0.0122
S005,2024-08,24.5,47.05,140.03,6.2,70,0.1062,0.0876
S005,2024-09,23.91,46.9,117.04,5.1,62,,-0.024
S005,2024-10,20.23,48.04,89.23,3.2,47,0.0931,-0.1539
S005,2024-11,20.64,47.78,62.09,2.3,41,0.1001,0.0202
S005,2024-12,21.66,49.05,34.71,1.3,40,0.0687,0.0494
S005,2025-01,19.33,49.12,4.92,0.2,32,0.1157,-0.1075
